Symulacja wszystkich kombinacji głębokości (1–9)

X(depth=1) vs O(depth=1) → {'X': 8, 'O': 1, 'Draw': 1}
X(depth=1) vs O(depth=2) → {'X': 3, 'O': 7, 'Draw': 0}
X(depth=1) vs O(depth=3) → {'X': 0, 'O': 7, 'Draw': 3}
X(depth=1) vs O(depth=4) → {'X': 1, 'O': 7, 'Draw': 2}
X(depth=1) vs O(depth=5) → {'X': 1, 'O': 5, 'Draw': 4}
X(depth=1) vs O(depth=6) → {'X': 0, 'O': 8, 'Draw': 2}
X(depth=1) vs O(depth=7) → {'X': 0, 'O': 6, 'Draw': 4}
X(depth=1) vs O(depth=8) → {'X': 0, 'O': 8, 'Draw': 2}
X(depth=1) vs O(depth=9) → {'X': 0, 'O': 7, 'Draw': 3}
X(depth=2) vs O(depth=1) → {'X': 10, 'O': 0, 'Draw': 0}
X(depth=2) vs O(depth=2) → {'X': 3, 'O': 0, 'Draw': 7}
X(depth=2) vs O(depth=3) → {'X': 4, 'O': 2, 'Draw': 4}
X(depth=2) vs O(depth=4) → {'X': 3, 'O': 2, 'Draw': 5}
X(depth=2) vs O(depth=5) → {'X': 1, 'O': 4, 'Draw': 5}
X(depth=2) vs O(depth=6) → {'X': 0, 'O': 1, 'Draw': 9}
X(depth=2) vs O(depth=7) → {'X': 0, 'O': 1, 'Draw': 9}
X(depth=2) vs O(depth=8) → {'X': 0, 'O': 1, 'Draw': 9}
X(depth=2) vs O(depth=9) → {'X': 0, 'O': 1, 'Draw': 9}
X(depth=3) vs O(depth=1) → {'X': 10, 'O': 0, 'Draw': 0}
X(depth=3) vs O(depth=2) → {'X': 4, 'O': 2, 'Draw': 4}
X(depth=3) vs O(depth=3) → {'X': 6, 'O': 1, 'Draw': 3}
X(depth=3) vs O(depth=4) → {'X': 3, 'O': 3, 'Draw': 4}
X(depth=3) vs O(depth=5) → {'X': 1, 'O': 2, 'Draw': 7}
X(depth=3) vs O(depth=6) → {'X': 0, 'O': 4, 'Draw': 6}
X(depth=3) vs O(depth=7) → {'X': 0, 'O': 2, 'Draw': 8}
X(depth=3) vs O(depth=8) → {'X': 0, 'O': 3, 'Draw': 7}
X(depth=3) vs O(depth=9) → {'X': 0, 'O': 1, 'Draw': 9}
X(depth=4) vs O(depth=1) → {'X': 9, 'O': 1, 'Draw': 0}
X(depth=4) vs O(depth=2) → {'X': 8, 'O': 1, 'Draw': 1}
X(depth=4) vs O(depth=3) → {'X': 5, 'O': 2, 'Draw': 3}
X(depth=4) vs O(depth=4) → {'X': 4, 'O': 0, 'Draw': 6}
X(depth=4) vs O(depth=5) → {'X': 2, 'O': 1, 'Draw': 7}
X(depth=4) vs O(depth=6) → {'X': 0, 'O': 1, 'Draw': 9}
X(depth=4) vs O(depth=7) → {'X': 0, 'O': 1, 'Draw': 9}
X(depth=4) vs O(depth=8) → {'X': 0, 'O': 1, 'Draw': 9}
